,Subtype 1,Subtype 2,Subtype 3
TAS2R30,1,0,0
CA1,1,0,0
GOSR1,1,1,0
MFSD14B,1,0,0
PCAT7,1,0,0
CCDC144NL,1,1,0
ZXDA,1,0,0
CRNKL1,1,0,0
SIM2,1,0,0
PLEKHM1P1,1,0,0
DNAJC4,1,1,0
FAM120A,1,0,0
TUBB8B,1,0,0
PMF1,1,0,0
PMF1-BGLAP,1,0,0
PTPN4,1,0,0
DDX55,1,0,0
KLK12,1,0,0
NUDT18,1,0,0
RBIS,1,0,0
TEX26,1,0,0
OR10J1,1,0,0
CYP2D6,1,0,0
SNRNP40,1,0,0
TDH,1,0,0
C21orf91-OT1,1,1,0
ALG1L2,1,0,0
GZMB,1,0,0
EPPK1,1,0,0
ANKLE1,1,0,0
PRAG1,1,0,0
CLDN7,1,0,0
TCP10,1,0,0
NBPF26,1,0,0
ABI3BP,1,0,0
KRTAP10-1,1,0,0
LOC100129083,1,0,0
SIGLEC10,1,0,0
HLA-C,1,0,0
IDI2,1,0,0
FAM181A-AS1,1,0,0
ATG9B,1,0,0
ABHD18,1,0,0
FAM20C,1,0,0
ZNF141,1,1,0
STXBP4,1,0,0
CNOT2,1,0,0
OR10X1,1,0,0
AGPAT4-IT1,1,0,0
MIA2,1,0,0
USF3,1,0,0
MYORG,1,0,0
AMPD1,1,0,0
GGT6,1,0,0
HLA-DPB2,1,0,0
OR52A1,1,0,0
PLEKHH2,1,0,0
TMEM216,1,1,0
SLC22A9,1,1,0
POT1,1,0,0
NAT8B,1,0,0
VPS50,1,0,0
IDO2,1,0,0
ZNF788P,1,0,0
ACTN3,1,0,0
NUP50,1,0,0
ABL2,1,0,0
CSTF3,1,0,0
COL18A1,1,0,0
DZANK1,1,1,0
RNF212,1,0,0
OR2B11,1,0,0
MIS18BP1,1,0,0
TPMT,1,0,0
UMODL1,1,0,0
ZNF283,1,0,0
CASP7,1,0,0
LOC105379477,1,0,0
MUC5B,1,0,0
CCDC200,1,0,0
LINC00910,1,0,0
LOC101928068,1,0,0
DHDH,1,0,0
PSG1,1,0,0
EBLN2,1,0,0
