,Subtype 1,Subtype 2,Subtype 3
SEC63,1,0,0
STARD6,1,0,0
DZANK1,1,1,0
IDUA,1,0,0
KHDC1,1,0,0
MRVI1,1,1,0
PLA2G2C,1,0,0
BMP4,1,0,0
FAM86B1,1,1,0
RAP1GAP,1,0,0
GALNT3,1,0,0
NPSR1,1,0,1
MST1,1,0,0
H2BFM,1,0,0
PITRM1,1,0,0
GSDMB,1,0,0
HLA-J,1,0,0
VWDE,1,0,0
PSMG1,1,0,0
OR5AC2,1,0,0
KLHL2,1,0,0
CCDC66,1,0,0
FAM201A,1,0,0
C1orf105,1,0,0
ZNF443,1,0,0
GNA11,1,0,0
GAS8,1,0,0
ANKMY1,1,0,0
POLR2J3,1,0,0
TPTE,1,0,0
CGA,1,0,0
HLA-DRB1,1,0,1
SLC22A10,1,0,1
FCGR2C,1,1,0
H6PD,1,0,0
OAS2,1,0,0
RNASE9,1,0,0
ESPNP,1,0,0
TPT1,1,0,0
MOB3C,1,0,0
A2M,1,1,0
CCDC154,1,0,0
PERCC1,1,0,0
HLA-DPB1,1,0,0
GOLGA8S,1,0,0
PPIG,1,0,0
FCRL6,1,0,0
NPPA,1,0,0
HLA-DQB1,1,0,0
ENPP7P13,1,0,0
MIR9901,1,0,0
ZNF80,1,0,0
FRG1BP,1,0,0
FRG1DP,1,0,0
ARMS2,1,0,0
PARP2,1,0,0
PYGL,1,0,1
TBC1D3P2,1,0,0
TCP10L2,1,0,0
TCF7,1,0,0
COLQ,1,0,0
CCHCR1,1,0,0
CES5A,1,0,0
GXYLT1,1,0,0
AVPI1,1,0,0
UPP2,1,0,0
MRPL27,1,0,0
DPP7,1,0,0
HLA-DRB5,1,0,1
VPS13B,1,0,0
LPL,1,0,0
TRDN,1,0,0
CSAG1,1,0,0
ZNF772,1,0,0
CENPN,1,0,0
PAX4,1,0,0
ABCA10,1,0,0
OR4C16,1,0,0
ATXN3,1,0,0
CTTN,1,0,0
NALCN,1,0,0
LILRB3,1,0,0
OAS1,1,0,0
TPM2,1,0,0
NANS,1,0,0
VMO1,1,0,0
PTCHD3,1,0,0
OR4C45,1,0,0
RIPOR2,1,0,0
CDK11A,1,0,0
CDK11B,1,0,0
AGXT2,1,0,0
OR1S1,1,0,0
ATXN2L,1,0,0
MS4A7,1,0,0
OR4C11,1,0,0
MS4A12,1,0,0
SLC6A18,1,0,0
SPAG11A,1,0,0
ZAN,1,0,0
OR6C74,1,0,0
DHFR,1,0,0
CHCHD10,1,0,0
MST1L,1,0,0
LCN10,0,1,0
CEACAM21,0,1,0
KRTAP10-7,0,1,0
TRIM48,0,1,0
LTK,0,1,0
MAGEB16,0,1,0
NEB,0,1,0
CYP2D6,0,1,1
GGT6,0,1,1
ACE,0,1,0
FCGR2A,0,1,0
TCTEX1D1,0,1,0
MADD,0,1,0
SYNE2,0,1,0
MGC15885,0,1,0
WASH3P,0,1,0
ARHGEF5,0,1,0
LGALS8,0,1,0
NPRL3,0,1,0
ZNF419,0,1,0
UGT2A1,0,1,0
CNTNAP3,0,1,0
CCDC103,0,1,0
NDUFV3,0,1,0
HERC4,0,1,0
GNAI2,0,1,0
SLFN13,0,1,0
THAP7-AS1,0,1,0
RHBG,0,1,0
PVRIG,0,1,0
PHF2,0,1,0
NDUFAF6,0,1,0
TRIM67,0,1,0
POT1,0,1,1
C9orf78,0,1,0
AURKC,0,1,0
BICRA,0,1,0
NIPAL2,0,1,0
SLC5A9,0,1,0
CCN4,0,1,0
KRTAP4-8,0,1,0
STXBP4,0,1,0
VPS50,0,1,0
KLK12,0,1,0
TMEM216,0,1,0
C17orf77,0,1,0
CATSPER2,0,1,0
IFNA10,0,1,0
DMPK,0,1,0
ATP8B3,0,1,0
SLC22A25,0,1,0
WWTR1,0,1,0
PRB1,0,1,0
OR52J3,0,1,0
CAPN8,0,1,0
PTCRA,0,1,0
STX18,0,1,0
EPB41L4A,0,1,0
MROH2B,0,1,0
BCLAF1,0,1,0
CTSL,0,1,0
FAM120A,0,1,0
TTC4,0,1,0
TYRO3,0,1,0
COX10,0,1,0
PABPC1,0,1,0
FOXD4L3,0,1,0
UMODL1,0,1,0
PKD1L2,0,1,0
R3HCC1,0,1,0
TAAR9,0,1,0
CCDC144CP,0,1,0
SFTPA2,0,1,0
PPFIA3,0,1,0
BAGE2,0,1,0
BAGE3,0,1,0
BAGE4,0,1,0
BAGE5,0,1,0
PRB4,0,1,0
AIFM1,0,1,0
NBPF10,0,1,0
NBPF19,0,1,0
FUT2,0,1,0
LAPTM4B,0,1,0
GABRR1,0,1,0
PATE4,0,1,0
MYDGF,0,1,0
OARD1,0,1,0
POM121L4P,0,1,0
SIGLEC12,0,1,0
NAT8B,0,1,0
MIA2,0,1,0
PMF1,0,1,0
PMF1-BGLAP,0,1,0
HLA-DQA1,0,1,0
CEP89,0,1,0
TRPM3,0,1,0
ZACN,0,1,0
NPEPPS,0,1,0
MOK,0,0,1
FOXD4,0,0,1
ABCA1,0,0,1
IDI2,0,0,1
TOR1AIP1,0,0,1
OR52E8,0,0,1
NCOR1,0,0,1
RFPL1,0,0,1
FRG1,0,0,1
ANKRD30BL,0,0,1
HPS4,0,0,1
CCDC198,0,0,1
TNK1,0,0,1
MYLK,0,0,1
LCE1D,0,0,1
MRGPRX3,0,0,1
ACTR3C,0,0,1
EML3,0,0,1
SPERT,0,0,1
SRA1,0,0,1
CLCA3P,0,0,1
IDO2,0,0,1
LINC01999,0,0,1
MUC4,0,0,1
ADAM3A,0,0,1
TDG,0,0,1
DERA,0,0,1
RNF44,0,0,1
ALDH3A2,0,0,1
KRTAP1-1,0,0,1
SLC25A10,0,0,1
MUC3A,0,0,1
TTC28,0,0,1
HLA-A,0,0,1
PRAMEF2,0,0,1
TUBBP5,0,0,1
UNC79,0,0,1
FAM187B,0,0,1
LAIR2,0,0,1
OR1B1,0,0,1
ZSCAN12P1,0,0,1
AREL1,0,0,1
PDE6B,0,0,1
RHPN2,0,0,1
LPO,0,0,1
TIMMDC1,0,0,1
ZSCAN29,0,0,1
ZNF317,0,0,1
OR4C5,0,0,1
LOC440434,0,0,1
UNC93A,0,0,1
PNLIPRP2,0,0,1
CCDC144NL,0,0,1
MUC7,0,0,1
GBGT1,0,0,1
VOPP1,0,0,1
NONE,0,0,1
GYG2P1,0,0,1
PSG1,0,0,1
OR51Q1,0,0,1
OR10X1,0,0,1
KRT38,0,0,1
GSTM3,0,0,1
SSPO,0,0,1
MYORG,0,0,1
NRP2,0,0,1
CSTF3,0,0,1
URAHP,0,0,1
TAS2R46,0,0,1
PPP4R1L,0,0,1
ANAPC1,0,0,1
MAPT,0,0,1
KRT37,0,0,1
SMPD4,0,0,1
MAPK11,0,0,1
AMPD1,0,0,1
ARSD,0,0,1
CELP,0,0,1
NCAPH2,0,0,1
RPL34-AS1,0,0,1
RNF212,0,0,1
DDX60L,0,0,1
GCNT7,0,0,1
OR10J1,0,0,1
NBPF26,0,0,1
TSPAN10,0,0,1
OR4P4,0,0,1
ABCD1,0,0,1
ANKRD36,0,0,1
MUC6,0,0,1
FAM20C,0,0,1
CRNKL1,0,0,1
ADAMTS12,0,0,1
