,Subtype 1,Subtype 2,Subtype 3
PMF1,1,0,0
PMF1-BGLAP,1,0,0
OR10J1,1,0,1
TRIM67,1,0,0
ATP6V1C2,1,0,0
ANKRD36C,1,0,1
RNF212,1,0,0
DHFR,1,0,1
FAM8A1,1,0,0
TPMT,1,0,0
TRDN,1,1,0
FAM20C,1,0,1
CA1,1,0,0
AGAP6,1,1,0
CSTF3,1,0,0
OR4C45,1,0,1
OR1S1,1,0,1
SLC22A9,1,0,1
CTTN,1,0,1
TAS2R46,1,0,1
POTEM,1,0,0
OR11H2,1,0,0
SRRM2,1,0,1
LOC390705,1,0,0
LOC105369266,1,0,0
ZNF812P,1,0,0
CRNKL1,1,0,1
SIM2,1,0,1
OR11H1,1,1,0
CCT8L2,1,1,0
ANAPC1,1,0,0
CMAHP,1,0,0
PRSS1,1,0,0
PRSS3P2,1,0,0
IDI2,1,0,0
EPS8L2,1,0,0
SPI1,1,0,1
ADGRG1,1,0,0
GRIN3B,1,0,0
CSAG1,1,0,0
POLR1B,1,0,0
TAS2R30,1,0,0
OR9K2,1,0,1
OR6C74,1,0,1
VMO1,1,0,0
ADGRE1,1,0,0
LOC102723360,1,0,0
LOC102724219,1,0,0
LOC102724843,1,0,0
LOC102724951,1,0,0
LOC389831,1,0,0
IL33,1,0,0
TNK1,1,0,0
PLEKHM1P1,1,0,1
EXOSC10-AS1,1,1,0
UPP2,1,0,0
MUC12,1,0,0
C17orf99,1,0,0
POM121L4P,1,1,0
CYP2D6,1,0,0
LTBP4,1,0,1
LPA,1,0,0
AMPD1,1,0,1
SLC36A2,1,0,0
ANKMY2,1,0,1
PRSS12,1,0,0
CEP170P1,1,0,0
FAM90A2P,1,0,0
SNF8,1,0,1
CENPN,1,0,0
NLRP1,1,0,0
FAM151A,1,0,0
ACSL6,1,0,0
LINC00226,1,1,1
FAM81B,1,0,0
RMDN2-AS1,0,1,0
PCDHA10,0,1,1
BCLAF1,0,1,0
AGPAT4-IT1,0,1,0
POT1,0,1,0
FRG2B,0,1,0
SLC22A10,0,1,0
GDPD4,0,1,0
A2M,0,1,0
MIA2,0,1,0
TMEM63C,0,1,0
PPFIA3,0,1,1
NBPF10,0,1,0
NBPF19,0,1,0
LGR6,0,1,0
CORIN,0,1,0
KCTD20,0,1,0
PTCRA,0,1,0
PRB3,0,1,0
ZNF492,0,1,0
ZNF99,0,1,0
SIRPB1,0,1,0
SIRPA,0,1,0
DYSF,0,1,0
MICA,0,1,0
OR51F1,0,1,0
PRB4,0,1,0
LINC01667,0,1,0
HLA-DPB1,0,1,0
PEBP4,0,1,0
TMEM255B,0,1,1
FAM120A,0,1,0
LILRB3,0,1,0
KNG1,0,1,0
GBGT1,0,1,1
GNLY,0,1,0
HPR,0,1,0
URAHP,0,1,1
ZNF233,0,1,0
EFCAB8,0,1,0
UNC13A,0,1,0
NOP16,0,1,0
RPL18,0,1,0
ELOVL5,0,1,0
DNM1P41,0,1,0
SPATA22,0,1,0
ADAM6,0,1,0
FOXL2NB,0,1,0
NBPF25P,0,0,1
OR2W3,0,0,1
TAF1B,0,0,1
CCDC66,0,0,1
CCHCR1,0,0,1
ARHGEF5,0,0,1
LINC00294,0,0,1
ACTN3,0,0,1
P2RX5,0,0,1
COX10,0,0,1
NCOR1,0,0,1
AQP12B,0,0,1
AQP12A,0,0,1
ZDHHC11,0,0,1
AGAP12P,0,0,1
PTPRQ,0,0,1
OR4P4,0,0,1
DHX37,0,0,1
HYDIN,0,0,1
LILRA2,0,0,1
ABCA4,0,0,1
C21orf91-OT1,0,0,1
MIR4283-1,0,0,1
ZNF479,0,0,1
MFF,0,0,1
NBPF26,0,0,1
SULT1C3,0,0,1
SLC25A10,0,0,1
KRT1,0,0,1
YWHAE,0,0,1
STX18,0,0,1
YBEY,0,0,1
HGC6.3,0,0,1
